noise,label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
0.000,"Conway Life","B3/S23","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.054264,0.035980,1.000000,-0.073939,0.000000,0.014038,0.000
0.000,"HighLife","B36/S23","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.043728,0.031805,1.000000,-0.110651,0.000000,0.021491,0.000
0.000,"Sample 01","B23678/S348","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.491792,0.504266,1.000000,0.000381,0.000000,0.000071,0.000
0.000,"Sample 02","B0467/S02356","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.529316,0.377911,1.000000,0.012008,0.000000,0.000192,0.000
0.000,"Sample 03","B01348/S018","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.412148,0.739564,1.000000,-0.001786,0.000000,0.000051,0.000
0.000,"Sample 04","B234/S0135","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.494676,0.569135,1.000000,-0.000251,0.000000,0.000080,0.000
0.000,"Sample 05","B045678/S678","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.283176,0.476329,1.000000,-0.000794,0.000000,0.000096,0.000
0.000,"Sample 06","B3467/S0356","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.615100,0.494829,1.000000,0.020298,0.000000,0.000640,0.000
0.000,"Sample 07","B0378/S12368","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.426984,0.295368,1.000000,0.001128,0.000000,0.000089,0.000
0.000,"Sample 08","B36/S06","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.039332,0.002208,1.000000,-0.003418,0.000000,0.000097,0.000
0.000,"Sample 09","B1234567/S56","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.506116,0.968805,1.000000,-0.141872,0.000000,0.000950,0.000
0.000,"Sample 10","B13568/S13567","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.726772,0.333566,1.000000,0.004433,0.000000,0.000084,0.000
0.000,"Sample 11","B01467/S0134","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.469820,0.453242,1.000000,-0.000044,0.000000,0.000123,0.000
0.000,"Sample 12","B1578/S035678","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.994528,0.000088,1.000000,0.581734,0.000000,0.002905,0.000
0.000,"Sample 13","B1235678/S013578","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.625792,0.598590,1.000000,-0.003316,0.000000,0.000112,0.000
0.000,"Sample 14","B0346/S1235","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.525520,0.530291,1.000000,0.000268,0.000000,0.000071,0.000
0.000,"Sample 15","B24567/S03467","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.735340,0.459324,1.000000,0.005439,0.000000,0.000116,0.000
0.000,"Sample 16","B1245/S2358","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.535548,0.557735,1.000000,-0.000333,0.000000,0.000084,0.000
0.000,"Sample 17","B0123678/S035","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.026456,0.995466,1.000000,-0.000150,0.000000,0.005986,0.000
0.000,"Sample 18","B12457/S2367","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.552652,0.588155,1.000000,-0.001162,0.000000,0.000189,0.000
0.000,"Sample 19","B03568/S4568","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.690988,0.387684,1.000000,0.021783,0.000000,0.000050,0.000
0.000,"Sample 20","B378/S01678","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.074620,0.004579,1.000000,-0.010730,0.000000,0.000391,0.000
0.000,"Sample 21","B0268/S346","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.388468,0.345121,1.000000,-0.000104,0.000000,0.000152,0.000
0.000,"Sample 22","B02468/S0245678","Frozen","Frozen: 100%",0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.962568,0.000000,1.000000,0.011693,0.000000,0.000026,0.000
0.000,"Sample 23","B056/S1278","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.269748,0.032960,1.000000,0.000082,0.000000,0.000058,0.000
0.000,"Sample 24","B13678/S03458","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.557744,0.365447,1.000000,0.001236,0.000000,0.000141,0.000
0.000,"Sample 25","B234/S2345","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.575268,0.023841,1.000000,0.005441,0.000000,0.000084,0.000
0.000,"Sample 26","B24/S3456","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.663232,0.001426,1.000000,0.006928,0.000000,0.000057,0.000
0.000,"Sample 27","B01457/S0236","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.495076,0.543295,1.000000,0.000055,0.000000,0.000221,0.000
0.000,"Sample 28","B134568/S12568","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.673604,0.524903,1.000000,0.001001,0.000000,0.000006,0.000
0.000,"Sample 29","B0568/S134","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.281476,0.049367,1.000000,0.000684,0.000000,0.000636,0.000
0.000,"Sample 30","B6/S013678","Frozen","Frozen: 100%",0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.124948,0.000000,1.000000,-0.000240,0.000000,0.000034,0.000
0.000,"Sample 31","B0167/S012","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.332184,0.473156,1.000000,-0.002095,0.000000,0.000189,0.000
