noise,label,rule,baselineClass,noiseClass,baselineDistribution,noiseDistribution,changed
0.001,"Conway Life","B3/S23","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"HighLife","B36/S23","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 01","B23678/S348","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 02","B0467/S02356","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 03","B01348/S018","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 04","B234/S0135","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 05","B045678/S678","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 06","B3467/S0356","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 07","B0378/S12368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 08","B36/S06","Periodic","Bounded Dynamic","Periodic: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 09","B1234567/S56","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 10","B13568/S13567","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 11","B01467/S0134","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 12","B1578/S035678","Periodic","Expanding","Periodic: 100%","Expanding: 100%",true
0.001,"Sample 13","B1235678/S013578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 14","B0346/S1235","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 15","B24567/S03467","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 16","B1245/S2358","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 17","B0123678/S035","Periodic","Disordered","Periodic: 100%","Disordered: 100%",true
0.001,"Sample 18","B12457/S2367","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 19","B03568/S4568","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 20","B378/S01678","Periodic","Structured Dynamic","Periodic: 100%","Structured Dynamic: 100%",true
0.001,"Sample 21","B0268/S346","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 22","B02468/S0245678","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 23","B056/S1278","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 24","B13678/S03458","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 25","B234/S2345","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 26","B24/S3456","Periodic","Bounded Dynamic","Periodic: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 27","B01457/S0236","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 28","B134568/S12568","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 29","B0568/S134","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 30","B6/S013678","Frozen","Bounded Dynamic","Frozen: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 31","B0167/S012","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 32","B123567/S012357","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 33","B03/S3456","Periodic","Bounded Dynamic","Periodic: 100%","Bounded Dynamic: 100%",true
0.001,"Sample 34","B1367/S026","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 35","B1478/S1247","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 36","B123457/S01468","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 37","B25/S012678","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 38","B267/S026","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 39","B01236/S1347","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 40","B034568/S012368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 41","B1378/S0357","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 42","B047/S37","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 43","B01257/S02368","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 44","B04567/S1238","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 45","B0134/S124678","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 46","B03468/S3578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 47","B015678/S0123567","Expanding","Expanding","Expanding: 100%","Expanding: 100%",false
0.001,"Sample 48","B034678/S0137","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 49","B2/S014678","Structured Dynamic","Structured Dynamic","Structured Dynamic: 100%","Structured Dynamic: 100%",false
0.001,"Sample 50","B023678/S123578","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
0.001,"Sample 51","B12/S023478","Disordered","Disordered","Disordered: 100%","Disordered: 100%",false
