label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
"Conway Life","B3/S23","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.052860","0.037246","0.996075","-0.074918","-0.003915","0.069388","0.000"
"HighLife","B36/S23","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.042770","0.031535","0.996350","-0.108098","-0.003650","0.063892","0.000"
"Sample 01","B23678/S348","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.490160","0.505018","1.000000","0.000249","0.000000","0.000380","0.000"
"Sample 02","B0467/S02356","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.531410","0.377400","1.000000","0.012562","0.000000","0.001550","0.000"
"Sample 03","B01348/S018","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.419020","0.739641","1.000000","-0.001845","0.000000","0.000240","0.000"
"Sample 04","B234/S0135","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.492380","0.569329","1.000000","-0.000006","0.000000","0.000397","0.000"
"Sample 05","B045678/S678","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.283870","0.475826","1.000000","-0.000995","0.000000","0.001343","0.000"
"Sample 06","B3467/S0356","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.619480","0.494549","1.000000","0.020540","0.000000","0.001451","0.000"
"Sample 07","B0378/S12368","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.428400","0.295924","1.000000","0.001527","0.000000","0.000756","0.000"
"Sample 08","B36/S06","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.039770","0.002520","1.000000","-0.003424","0.000000","0.001159","0.000"
"Sample 09","B1234567/S56","Disordered","Periodic: 30% / Disordered: 70%","0.000","0.000","0.300","0.000","0.700","0.000","0.000","0.506390","0.977713","1.000000","-0.144915","0.000000","0.003551","0.000"
"Sample 10","B13568/S13567","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.727410","0.333300","1.000000","0.004630","0.000000","0.000406","0.000"
"Sample 11","B01467/S0134","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.470110","0.453329","1.000000","-0.000306","0.000000","0.000568","0.000"
"Sample 12","B1578/S035678","Frozen","Frozen: 80% / Periodic: 20%","0.000","0.800","0.200","0.000","0.000","0.000","0.000","0.994500","0.000067","1.000000","0.589261","0.000000","0.011640","0.000"
"Sample 13","B1235678/S013578","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.624620","0.598748","1.000000","-0.003439","0.000000","0.000386","0.000"
"Sample 14","B0346/S1235","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.526260","0.530353","1.000000","0.000352","0.000000","0.000341","0.000"
"Sample 15","B24567/S03467","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.733540","0.459428","1.000000","0.005424","0.000000","0.000430","0.000"
"Sample 16","B1245/S2358","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.534440","0.557692","1.000000","-0.000411","0.000000","0.000336","0.000"
"Sample 17","B0123678/S035","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.025340","0.996145","0.997500","-0.000250","-0.002280","0.025058","0.000"
"Sample 18","B12457/S2367","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.549240","0.588042","1.000000","-0.001113","0.000000","0.000322","0.000"
"Sample 19","B03568/S4568","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.693660","0.387178","1.000000","0.022027","0.000000","0.000968","0.000"
"Sample 20","B378/S01678","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.073160","0.004507","1.000000","-0.010849","0.000000","0.002390","0.000"
"Sample 21","B0268/S346","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.387130","0.345266","1.000000","0.000191","0.000000","0.000876","0.000"
"Sample 22","B02468/S0245678","Frozen","Frozen: 90% / Periodic: 10%","0.000","0.900","0.100","0.000","0.000","0.000","0.000","0.962600","0.000040","1.000000","0.011792","0.000000","0.000173","0.000"
"Sample 23","B056/S1278","Periodic","Periodic: 80% / Structured Dynamic: 20%","0.000","0.000","0.800","0.000","0.000","0.200","0.000","0.268870","0.033865","1.000000","0.000093","0.000000","0.000247","0.000"
"Sample 24","B13678/S03458","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.554400","0.365443","1.000000","0.000984","0.000000","0.000519","0.000"
"Sample 25","B234/S2345","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.575110","0.023592","1.000000","0.005575","0.000000","0.000286","0.000"
"Sample 26","B24/S3456","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.663980","0.001765","1.000000","0.006984","0.000000","0.000174","0.000"
"Sample 27","B01457/S0236","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.491820","0.542928","1.000000","-0.000208","0.000000","0.000395","0.000"
"Sample 28","B134568/S12568","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.673970","0.525026","1.000000","0.001213","0.000000","0.000323","0.000"
"Sample 29","B0568/S134","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.281640","0.052968","1.000000","0.001249","0.000000","0.002914","0.000"
