ruleLabel,rule,trial,primaryClass,tags,steps,gridSize,initialDensity,wrap,finalLive,finalDensity,finalActivity,avgLastDensity,avgLastActivity,finalBoundingBoxArea,avgLastArea,densityTrend,areaTrend,repeatPeriod,centerShift
"Conway Life","B3/S23","1","Structured Dynamic","","500","100","0.240","true","614","0.061400","0.035000","0.062147","0.036943","10000","1.000000","-0.067404","0.000000","0","0.019492"
"Conway Life","B3/S23","2","Structured Dynamic","","500","100","0.240","true","779","0.077900","0.055400","0.090803","0.068489","10000","1.000000","-0.049157","0.000000","0","0.059981"
"Conway Life","B3/S23","3","Structured Dynamic","","500","100","0.240","true","377","0.037700","0.015000","0.034376","0.016224","10000","1.000000","-0.087222","0.000000","0","0.065260"
"Conway Life","B3/S23","4","Structured Dynamic","","500","100","0.240","true","534","0.053400","0.029800","0.058213","0.036776","10000","0.996800","-0.073175","-0.003200","0","0.115454"
"Conway Life","B3/S23","5","Structured Dynamic","","500","100","0.240","true","449","0.044900","0.030200","0.056055","0.038357","9900","0.995500","-0.072373","-0.004500","0","0.033261"
"Conway Life","B3/S23","6","Structured Dynamic","","500","100","0.240","true","414","0.041400","0.025100","0.044945","0.030402","10000","0.976845","-0.087837","-0.023055","0","0.092831"
"Conway Life","B3/S23","7","Structured Dynamic","","500","100","0.240","true","428","0.042800","0.021300","0.042671","0.020618","10000","0.999300","-0.096643","-0.000700","0","0.075569"
"Conway Life","B3/S23","8","Structured Dynamic","","500","100","0.240","true","552","0.055200","0.033400","0.057308","0.037879","10000","1.000000","-0.074702","0.000000","0","0.115234"
"Conway Life","B3/S23","9","Structured Dynamic","","500","100","0.240","true","561","0.056100","0.034600","0.064667","0.045116","9300","0.993201","-0.068493","-0.006799","0","0.015371"
"Conway Life","B3/S23","10","Structured Dynamic","","500","100","0.240","true","578","0.057800","0.034300","0.063793","0.041659","10000","0.999100","-0.072177","-0.000900","0","0.101426"
"HighLife","B36/S23","1","Structured Dynamic","","500","100","0.240","true","313","0.031300","0.012400","0.045024","0.029769","10000","1.000000","-0.115826","0.000000","0","0.086353"
